("bevy","yveb","bevy")
("bigotry","yrtogib","bigotry")
("boy","yob","boy")
("by","yb","by")
("cox","xoc","cox")
("dow","wod","dow")
("fou","uof","fou")
("fu","uf","fu")
("ghost","tsohg","ghost")
("girt","trig","girt")
("got","tog","got")
("grit","tirg","grit")
("izar","razi","izar")
("kop","pok","kop")
("mon","nom","mon")
("moon","noom","moon")
("morion","noirom","morion")
("O","O","O")
("o","o","o")
("pook","koop","pook")
("roi","ior","roi")
("sh","hs","sh")
("soh","hos","soh")
("tog","got","tog")
("trig","girt","trig")
("vire","eriv","vire")
("voe","eov","voe")
("wird","driw","wird")
("wizard","draziw","wizard")
("wod","dow","wod")
("wood","doow","wood")
("za","az","za")
("zira","ariz","zira")
("zoa","aoz","zoa")
